"name","id","nametype","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Wabar",24194,"Valid","""Iron, IIIAB""",2550000,"Found",1863,21.49972,50.47222,"""(21.499720, 50.472220)"""
"Wallapai",24206,"Valid","""Iron, IID""",430000,"Found",1927,35.8,-113.7,"""(35.800000, -113.700000)"""
"Wichita County",24257,"Valid","""Iron, IAB-MG""",145000,"Found",1836,34.06667,-98.91667,"""(34.066670, -98.916670)"""
"Wildara",24265,"Valid","H5",500000,"Found",1968,-28.23333,120.85,"""(-28.233330, 120.850000)"""
"Willamette",24269,"Valid","""Iron, IIIAB""",15500000,"Found",1902,45.36667,-122.58333,"""(45.366670, -122.583330)"""
"Wolf Creek",24326,"Valid","""Iron, IIIAB""",760000,"Found",1947,-19.3,127.76667,"""(-19.300000, 127.766670)"""
"Xifu",54608,"Valid","""Iron, IAB complex""",3000000,"Found",2004,36.3,120.48333,"""(36.300000, 120.483330)"""
"Yanhuitlan",30349,"Valid","""Iron, IVA""",421000,"Found",1825,17.53333,-97.35,"""(17.533330, -97.350000)"""
"Yenberrie",30361,"Valid","""Iron, IAB-MG""",132000,"Found",1918,-14.25,132.01667,"""(-14.250000, 132.016670)"""
"Yingde",30363,"Valid","""Iron, IVA""",3000000,"Found",1964,24.2,113.4,"""(24.200000, 113.400000)"""
"Youanmi",30373,"Valid","""Iron, IIIAB""",118400,"Found",1917,-29.5,118.75,"""(-29.500000, 118.750000)"""
"Youndegin",30374,"Valid","""Iron, IAB-MG""",3800000,"Found",1884,-32.1,117.71667,"""(-32.100000, 117.716670)"""
"Youxi",55793,"Valid","Mesosiderite-C",218000,"Found",2006,26.06,118.01,"""(26.060000, 118.010000)"""
"Ysleta",30375,"Valid","""Iron, ungrouped""",140700,"Found",1914,31.65,-106.18333,"""(31.650000, -106.183330)"""
"Zacatecas (1792)",30381,"Valid","""Iron, ungrouped""",1000000,"Found",1792,22.81667,-102.56667,"""(22.816670, -102.566670)"""
"Zaragoza",48916,"Valid","""Iron, IVA-an""",162000,"Found",null,41.65,-0.86667,"""(41.650000, -0.866670)"""
"Zerhamra",30403,"Valid","""Iron, IIIAB-an""",630000,"Found",1967,29.85861,-2.645,"""(29.858610, -2.645000)"""
"Zhaoping",54609,"Valid","""Iron, IAB complex""",2000000,"Found",1983,24.23333,111.18333,"""(24.233330, 111.183330)"""
"Zhigansk",30405,"Valid","""Iron, IIIAB""",900000,"Found",1966,68,128.3,"""(68.000000, 128.300000)"""
"Zhongxiang",30406,"Valid","Iron",100000,"Found",1981,31.2,112.5,"""(31.200000, 112.500000)"""
